x,y,conc
543540,163900,7.722235
543560,163900,7.721653
543580,163900,7.721114
543600,163900,7.720651
543620,163900,7.7202
543640,163900,7.719769
543660,163900,7.719347
543680,163900,7.718948
543700,163900,7.718419
543720,163900,7.717794
543740,163900,7.717285
543760,163900,7.716922
543780,163900,7.716508
543800,163900,7.716116
543820,163900,7.715854
543840,163900,7.715717
543860,163900,7.715578
543880,163900,7.715459
543900,163900,7.715329
543920,163900,7.715222
543940,163900,7.715047
543960,163900,7.714942
543980,163900,7.71486
544000,163900,7.714782
544020,163900,7.714748
544040,163900,7.714734
544060,163900,7.714739
544080,163900,7.714763
544100,163900,7.714878
544120,163900,7.714986
544140,163900,7.715127
544160,163900,7.715172
544180,163900,7.715279
544200,163900,7.715331
544220,163900,7.715446
544240,163900,7.715601
544260,163900,7.715752
544280,163900,7.715925
544300,163900,7.71611
544320,163900,7.716373
544340,163900,7.716654
544360,163900,7.717021
544380,163900,7.717415
544400,163900,7.717917
544420,163900,7.718568
544440,163900,7.719267
544460,163900,7.720255
544480,163900,7.721553
544500,163900,7.723565
544520,163900,7.726718
544540,163900,7.73223
544560,163900,7.747256
544580,163900,7.843929
544600,163900,7.831154
544620,163900,7.765907
544640,163900,7.745988
544660,163900,7.739559
544680,163900,7.736664
544700,163900,7.735579
544720,163900,7.735542
544740,163900,7.736382
544760,163900,7.73806
544780,163900,7.740346
544800,163900,7.743703
544820,163900,7.748286
544840,163900,7.754791
544860,163900,7.764402
544880,163900,7.779799
544900,163900,7.81167
544920,163900,8.095768
544940,163900,7.920264
544960,163900,7.832985
544980,163900,7.805421
545000,163900,7.793058
545020,163900,7.786841
545040,163900,7.78436
545060,163900,7.784185
545080,163900,7.784779
545100,163900,7.787058
545120,163900,7.791066
545140,163900,7.796615
545160,163900,7.805057
545180,163900,7.819594
545200,163900,7.844009
545220,163900,7.966058
545240,163900,7.92505
545260,163900,8.003368
545280,163900,7.909581
545300,163900,7.922015
545320,163900,8.017308
545340,163900,8.070118
545360,163900,7.995581
545380,163900,8.056526
545400,163900,8.244324
